Seq	TickMs	DeltaMs	ThreadId	Endpoint	Dir	Bytes	Hex	Ascii	AsciiNote
57	479707437	0	34460	192.168.1.74:5025	TX	23	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.	22:LF
58	479707437	0	34460	127.0.0.1:5025	RX	15	3A 53 45 4E 53 3A 50 52 45 53 20 30 2E 30 30 	:SENS:PRES 0.00	
59	479707437	0	34460	192.168.1.74:5025	RX	9	32 37 2E 32 36 39 37 39 38 	27.269798	
60	479709484	2047	34460	127.0.0.1:5025	TX	7	3A 73 65 6E 73 3F 0A 	:sens?.	6:LF
61	479709484	0	34460	192.168.1.74:5025	TX	23	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.	22:LF
62	479709484	0	34460	127.0.0.1:5025	RX	15	3A 53 45 4E 53 3A 50 52 45 53 20 30 2E 30 30 	:SENS:PRES 0.00	
63	479709484	0	34460	192.168.1.74:5025	RX	9	32 37 2E 32 34 34 36 39 39 	27.244699	
64	479711437	1953	34460	127.0.0.1:5025	TX	7	3A 73 65 6E 73 3F 0A 	:sens?.	6:LF
65	479711437	0	34460	192.168.1.74:5025	TX	23	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.	22:LF
66	479711437	0	34460	127.0.0.1:5025	RX	15	3A 53 45 4E 53 3A 50 52 45 53 20 30 2E 30 30 	:SENS:PRES 0.00	
67	479711437	0	34460	192.168.1.74:5025	RX	9	32 37 2E 31 38 38 32 39 33 	27.188293	
68	479713484	2047	34460	127.0.0.1:5025	TX	7	3A 73 65 6E 73 3F 0A 	:sens?.	6:LF
69	479713500	16	34460	192.168.1.74:5025	TX	23	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.	22:LF
70	479713500	0	34460	127.0.0.1:5025	RX	15	3A 53 45 4E 53 3A 50 52 45 53 20 30 2E 30 30 	:SENS:PRES 0.00	
71	479713500	0	34460	192.168.1.74:5025	RX	9	32 37 2E 31 39 31 38 34 33 	27.191843	
72	479715437	1937	34460	127.0.0.1:5025	TX	7	3A 73 65 6E 73 3F 0A 	:sens?.	6:LF
73	479715437	0	34460	192.168.1.74:5025	TX	23	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.	22:LF
74	479715437	0	34460	127.0.0.1:5025	RX	15	3A 53 45 4E 53 3A 50 52 45 53 20 30 2E 30 30 	:SENS:PRES 0.00	
75	479715437	0	34460	192.168.1.74:5025	RX	9	32 37 2E 31 34 32 32 39 36 	27.142296	
76	479717484	2047	34460	127.0.0.1:5025	TX	7	3A 73 65 6E 73 3F 0A 	:sens?.	6:LF
77	479717500	16	34460	192.168.1.74:5025	TX	23	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.	22:LF
78	479717500	0	34460	127.0.0.1:5025	RX	15	3A 53 45 4E 53 3A 50 52 45 53 20 30 2E 30 30 	:SENS:PRES 0.00	
79	479717500	0	34460	192.168.1.74:5025	RX	9	32 37 2E 31 30 30 31 32 31 	27.100121	
