Seq	DeltaMs	Endpoint		Dir	Hex	Ascii	AsciiNote
60	0	192.168.1.74:5025	RX	32 31 2E 30 39 38 38 39 30 	21.098890		
61	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
62	0	192.168.1.74:5025	RX	32 31 2E 30 39 36 39 36 32 	21.096962		
63	1031	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
64	0	192.168.1.74:5025	RX	32 31 2E 30 38 38 38 33 33 	21.088833		
65	0	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
66	0	192.168.1.74:5025	RX	32 31 2E 30 38 38 38 33 33 	21.088833		
67	0	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
68	0	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
69	0	192.168.1.74:5025	RX	32 31 2E 30 38 38 38 33 33 	21.088833		
70	16	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
71	0	192.168.1.74:5025	RX	32 31 2E 30 38 38 38 33 33 	21.088833		
72	0	192.168.1.74:5025	RX	32 31 2E 30 38 38 38 33 33 	21.088833		
73	0	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
74	0	192.168.1.74:5025	TX	3A 4F 55 54 50 55 54 31 20 4F 4E 	:OUTPUT1 ON		
75	0	192.168.1.74:5025	RX	32 31 2E 30 38 38 38 33 33 	21.088833		
76	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
77	0	192.168.1.74:5025	RX	32 31 2E 30 39 32 33 30 36 	21.092306		
78	16	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 53 50 4F 49 4E 54 20 32 33 2E 30 	:SOURCE:CLOOP1:SPOINT 23.0		
79	2046	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
80	0	192.168.1.74:5025	RX	32 31 2E 31 37 39 36 39 31 	21.179691		
81	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
82	94	192.168.1.74:5025	RX	32 31 2E 34 31 33 36 30 35 	21.413605		
83	1953	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
84	0	192.168.1.74:5025	RX	32 31 2E 37 38 38 30 36 33 	21.788063		
85	906	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
86	16	192.168.1.74:5025	RX	32 32 2E 30 35 30 37 35 31 	22.050751		
87	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
88	0	192.168.1.74:5025	RX	32 32 2E 35 36 33 35 34 37 	22.563547		
89	0	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
90	0	192.168.1.74:5025	RX	32 32 2E 35 36 33 35 34 37 	22.563547		
91	2062	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
92	94	192.168.1.74:5025	RX	32 33 2E 30 37 37 35 38 33 	23.077583		
93	1844	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
94	0	192.168.1.74:5025	RX	32 33 2E 36 35 34 34 31 31 	23.654411		
95	1031	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
96	0	192.168.1.74:5025	RX	32 33 2E 39 30 38 32 39 38 	23.908298		
97	2063	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
98	0	192.168.1.74:5025	RX	32 34 2E 33 38 34 36 34 34 	24.384644		
99	1937	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
